pair_id,from_id,to_id,distance_nm,sea_time_h
P09__P34,P09,P34,403.4509605470453,28.81792575336038
P09__P35,P09,P35,571.0218241952027,40.7872731568002
P09__P36,P09,P36,645.3599447117869,46.09713890798478
P09__P37,P09,P37,241.84621117874815,17.27472936991058
P09__P38,P09,P38,917.3653253780493,65.52609466986067
P09__P39,P09,P39,1187.2581556545942,84.80415397532816
P09__P40,P09,P40,1026.5513815624604,73.32509868303289
P10__P01,P10,P01,1392.3984011719447,99.4570286551389
P10__P02,P10,P02,824.5157055046968,58.893978964621205
P10__P03,P10,P03,722.5579100753195,51.61127929109425
P10__P04,P10,P04,623.6776380179821,44.54840271557015
P10__P05,P10,P05,738.6072109964645,52.75765792831889
P10__P06,P10,P06,978.9340494838175,69.92386067741553
P10__P07,P10,P07,1181.8068157679925,84.41477255485661
P10__P08,P10,P08,933.0066152696911,66.64332966212079
P10__P09,P10,P09,441.28018726428775,31.520013376020554
P10__P11,P10,P11,871.1545335212577,62.225323822946976
P10__P12,P10,P12,894.0477125581276,63.86055089700911
P10__P13,P10,P13,882.9886024090298,63.07061445778784
P10__P14,P10,P14,1085.9920024854596,77.57085732038998
P10__P15,P10,P15,255.64527878231416,18.260377055879584
P10__P16,P10,P16,508.61786105273194,36.32984721805228
P10__P17,P10,P17,777.7967490467846,55.5569106461989
P10__P18,P10,P18,531.5100193946321,37.965001385330865
P10__P19,P10,P19,1043.5568472335556,74.53977480239682
P10__P20,P10,P20,137.59079441076267,9.827913886483048
P10__P21,P10,P21,1440.2149432603437,102.87249594716741
P10__P22,P10,P22,404.10046121380566,28.864318658128976
P10__P23,P10,P23,147.15194482394108,10.510853201710077
P10__P24,P10,P24,990.2656154697713,70.73325824784081
P10__P25,P10,P25,515.4358429887835,36.81684592777025
P10__P26,P10,P26,1448.5674951219332,103.46910679442381
P10__P27,P10,P27,520.0071129250849,37.14336520893464
P10__P28,P10,P28,351.315332438303,25.093952317021643
P10__P29,P10,P29,613.4598387143355,43.818559908166826
P10__P30,P10,P30,722.701192486631,51.62151374904507
P10__P31,P10,P31,664.6777252541935,47.47698037529954
P10__P32,P10,P32,577.0299222956876,41.21642302112054
P10__P33,P10,P33,933.0066152696911,66.64332966212079
P10__P34,P10,P34,422.2509162787722,30.160779734198012
P10__P35,P10,P35,589.4522112755636,42.103729376825974
P10__P36,P10,P36,210.69310027498761,15.049507162499115
